968 901
187 312 771123040
684 943 552878505
615 808 347349593
564 596 542145494
817 921 982347411
735 755 607945295
20 805 750753657
939 961 546856630
76 400 702374116
136 197 791190719
153 361 595909704
656 935 843891555
469 483 685585512
883 892 291835958
916 939 338951827
932 967 279221663
34 143 513505303
609 959 495229041
878 943 557487679
661 954 664094189
85 718 779515879
18 102 463455392
211 556 44749757
188 758 22902743
507 570 918823194
319 359 526854954
520 609 996907054
376 684 322429894
276 657 520932388
150 939 922345202
125 727 659377710
165 747 329579914
108 169 525515805
42 823 695619118
279 870 808945380
605 911 916087997
364 710 909161117
836 920 513457015
664 968 817316767
669 833 327927859
764 931 523738986
688 934 877083092
102 380 453823338
418 918 932270517
657 890 886935304
254 633 975233835
17 526 962815549
762 829 552787847
402 416 852346956
879 902 842122278
913 965 186594635
829 960 385923085
420 511 743345987
931 940 729386880
285 317 878409071
625 858 667019634
509 545 523577573
452 604 779547308
375 962 552788351
588 886 856701595
105 876 948179059
623 913 977448644
590 737 317903666
206 835 48160542
914 918 390656199
360 520 198063890
369 549 259802307
305 752 42223020
287 795 195200126
879 946 788683964
61 697 231348660
643 895 616864696
877 902 409530486
873 892 3142409
352 683 724506615
73 324 836510816
288 698 67088846
817 822 262851220
523 526 947123103
630 960 234253606
111 128 998493228
899 925 253554815
859 866 320326173
393 561 347053539
519 576 695884421
223 559 453276959
848 911 189951598
778 787 177060470
816 820 525819604
495 889 800547792
110 649 220523251
913 928 441261179
898 946 157173738
697 707 126129941
946 962 307517646
356 947 412502332
914 937 713851381
147 405 237920706
33 352 935797277
129 544 74192660
567 855 315859478
128 582 345312144
716 731 951887491
673 790 528144897
817 938 342732594
682 846 991185388
160 448 704931542
752 766 646095874
841 880 231009700
487 894 870051665
643 844 669055705
913 964 299049011
191 646 921391606
88 908 385425339
71 844 265986438
935 964 761012758
786 788 657694080
279 553 922042367
929 966 50536297
710 928 438563252
227 798 628668869
810 839 368419277
799 825 4585960
441 871 341158956
735 911 853005541
518 918 316155853
723 784 116443699
376 395 837469328
737 915 750847499
901 961 840031016
899 939 138443261
489 909 97361072
740 866 576937735
172 753 772811829
14 535 395656326
772 882 706935822
713 915 388052708
424 491 960237559
946 949 387844875
588 849 320779336
330 368 354384885
414 644 673374973
670 689 829267285
632 720 964174064
396 459 954892171
108 343 379945764
583 967 425455868
565 820 18826633
255 841 291114589
531 881 687574853
472 497 135833688
132 919 195547309
72 277 825944346
494 592 190498516
359 640 447013863
7 421 454189708
335 741 390346600
865 952 424541345
128 596 697418501
825 921 15669079
253 787 183021951
589 789 194801135
601 772 866531698
468 469 811550167
432 525 473894380
878 919 346454628
528 721 398472230
267 655 573928539
631 793 76273748
930 954 859348061
234 965 858698909
97 620 651547047
916 967 281625516
132 925 586698796
584 678 510333038
724 734 604438755
269 832 444621809
116 936 21540959
736 833 553814334
624 847 681373865
917 938 527283201
637 918 520286812
577 684 893619633
338 783 328949607
88 616 566414280
319 453 793667879
233 922 645096300
351 655 467866613
236 242 832068994
32 88 259730771
548 572 870297512
291 516 907726834
809 942 878049933
298 730 143744085
797 859 341792545
115 350 437113007
937 949 466452997
112 808 571686764
329 526 477321901
538 662 158898307
595 697 144682036
620 670 68614037
246 589 537697073
714 811 358046062
676 850 718880754
154 341 585406893
401 578 108778317
716 775 42879760
812 931 62470020
446 897 587132223
784 950 910045067
119 917 107886828
229 846 614531652
527 938 302209415
766 831 715115361
835 902 615654249
567 905 43334169
116 427 357329001
174 633 403271411
601 743 10315587
584 609 69866027
903 921 825719625
149 392 991099929
838 889 40109821
799 911 120581795
241 599 208994574
141 244 331565640
761 957 930171051
33 879 705968754
854 948 652218833
940 947 47161435
682 936 176980486
565 784 780463230
210 956 858549369
23 312 779888701
947 951 200548568
352 516 619939549
405 749 678728908
61 447 64274762
151 345 936326826
571 802 813491222
346 934 735502593
955 968 760017270
85 113 828604533
228 299 550211383
39 226 647611053
842 912 964318704
253 351 442888667
114 789 38909252
687 840 695971595
75 129 735145472
894 900 518883326
341 740 177341106
177 720 986106280
566 967 69685155
171 923 13661044
816 943 523704299
504 561 208734239
108 323 585235339
144 541 391435987
417 752 415759146
211 437 342047361
660 957 599336415
915 940 81911253
432 940 347222637
956 957 232294782
554 715 539613808
175 781 631140567
707 783 735815523
395 630 839162654
305 312 456793965
929 932 182561921
169 683 112034497
737 947 561997427
5 196 614563104
336 529 767189702
471 670 585191779
681 933 527421355
402 633 136989546
917 963 252735279
278 909 160510348
150 277 961153137
344 522 625320850
606 626 574563835
814 892 908592708
45 809 490936897
761 849 778100076
733 888 494673364
650 696 130903726
910 967 14320678
764 959 278628716
129 423 487858137
327 415 665344496
711 832 885644724
21 160 608340218
856 894 291195389
63 439 816604703
364 731 144880645
28 828 947778501
628 650 408240005
632 735 455056130
692 861 749180621
268 843 743329459
761 929 740499725
68 120 505675894
734 761 782054854
84 365 943434358
63 91 43162110
378 522 249389158
394 639 928888100
698 915 527322747
201 771 629302476
231 962 78363392
188 413 897709257
859 916 275420014
216 233 856683234
945 954 907021066
808 837 564627840
84 128 537639801
618 857 490309227
166 650 190071476
718 725 125136678
431 939 120431612
531 641 746349755
431 789 904151448
468 710 434114698
371 642 46061945
949 950 90604930
89 274 862956271
596 748 209627860
936 953 727642829
665 774 272386454
62 567 215291896
556 964 416347743
84 649 902385288
267 746 672319981
697 719 700489616
573 855 757429694
559 968 300061019
545 809 547878483
917 950 931973904
533 840 903937162
618 691 459727910
463 954 372901007
364 832 130109390
853 901 941436975
388 696 613358057
489 581 35497334
332 362 691342374
590 927 245665601
300 889 350481975
45 571 329648477
605 623 961537051
588 874 896409029
586 924 740459057
758 863 569441595
241 894 827649253
460 773 130607423
813 957 256654633
114 869 242749205
573 954 323693648
722 761 711663482
40 115 928193618
888 962 806279317
177 291 841148870
234 711 403048787
794 844 661841486
781 878 107782663
555 884 301281022
348 711 107710847
539 733 919320322
86 699 16424513
426 937 226961233
593 863 615823060
276 316 748453284
700 774 350903946
378 475 801766098
656 897 406422010
908 959 838511083
43 704 295063990
155 704 398896567
125 624 659881827
57 479 656938677
259 671 692689972
379 568 901354382
616 952 17699151
325 337 351222627
222 792 827125046
496 841 339704822
835 881 35891818
494 803 995058761
16 601 293594717
750 917 52980737
919 943 781973353
76 682 692992639
134 653 924252117
223 825 905907243
918 942 687377404
491 834 58742045
587 631 697179009
189 608 423200666
501 555 229472650
676 750 969780559
911 928 635443994
451 742 819258192
835 884 648681729
25 707 379069706
659 736 83141060
966 968 163874188
304 882 937728466
91 954 766542739
170 210 241844552
87 962 33238678
157 320 907890690
713 739 468335051
580 769 46472068
88 329 446813233
648 708 827802890
949 953 196266193
662 832 40958108
234 866 527138689
506 885 475608015
888 927 313042725
61 274 210479590
903 919 233985670
700 766 442849218
945 951 6689688
380 901 664570945
878 886 198866902
659 862 579446550
67 717 931838525
619 633 679721600
226 295 26293567
421 768 836856045
327 596 410951067
290 927 634736097
115 450 918936463
283 723 529309887
801 912 417739613
740 827 674507654
545 931 820562994
650 957 434061124
369 634 839563552
578 956 301198005
813 882 700500013
913 943 174882180
56 155 589275014
768 858 788816407
524 586 140308340
427 465 716673844
807 927 457705177
216 458 720476934
557 565 296918554
265 437 732690965
483 735 517581345
174 263 469250383
701 852 781529810
369 654 467872047
282 938 262725222
469 911 435094752
81 167 519785539
803 948 447510152
961 964 439247456
687 884 49537903
907 952 539714259
273 413 855171886
822 887 683593197
591 832 833273119
961 964 313473341
617 728 431102449
819 901 368050268
73 132 645042592
280 746 560984716
186 440 35648383
785 850 553805623
940 949 388740810
154 427 873640091
559 692 244724551
572 830 243092685
220 696 573377631
958 963 147669401
750 952 483669730
346 928 512936374
414 630 357074922
333 414 274465209
801 926 670379184
786 881 866181019
916 938 675317873
936 952 344258430
363 524 31969588
261 559 843708578
219 501 274206590
778 819 587351208
956 959 331950264
897 959 190490370
685 944 309992207
636 773 268587828
533 910 850404147
11 732 246849917
219 732 482857770
454 954 777698074
273 607 248621809
319 712 166758986
206 340 896121538
323 738 828043575
248 908 649195667
420 900 361428374
249 380 924838887
110 137 237220558
965 967 316359301
732 800 882703248
372 714 180098943
940 952 732472880
125 616 190981511
95 190 708517401
452 602 733230591
317 366 356574175
253 331 38395063
660 756 21307353
373 689 693526299
816 852 980190013
218 449 760978236
847 910 524085121
592 793 57017372
754 796 250671181
727 853 160730060
547 796 339931657
26 750 716925449
803 931 844747386
581 681 446977849
295 797 68222737
645 808 473885973
21 735 554852612
923 956 618236749
820 966 124968529
796 842 939714609
781 922 93324929
867 914 954284693
745 911 34601186
911 918 584412188
581 682 118868345
166 731 48016471
12 553 72808464
716 787 895265933
919 937 393815934
380 709 400390416
102 861 118390127
675 965 67017146
246 438 696723426
906 924 536829524
590 653 130202509
284 634 993412099
93 161 479247077
504 555 329652347
866 940 824593333
911 920 365558222
460 911 38018218
558 950 18785049
575 715 40528581
903 952 274548378
578 663 151896000
961 965 549421131
175 286 439795406
835 931 34243121
477 595 713254546
941 955 448791753
240 426 138942644
602 831 394074770
809 829 568087146
133 949 25498603
445 913 994517055
932 966 990824278
183 910 469707668
650 775 864779338
898 968 438228410
531 911 762609954
929 945 781582305
553 933 358525142
818 929 924507074
755 827 147456266
946 963 573474888
958 962 802351907
481 764 347592792
641 709 186346265
381 631 290302726
64 207 64189652
573 595 892088628
306 396 809446126
196 244 353458712
902 953 766058721
55 961 305916748
95 96 64234123
197 217 549097918
905 961 987828896
172 654 397004932
